Date,Adj Close,Close,High,Low,Open,Volume,Company
2023-01-03 00:00:00+00:00,123.7684555053711,125.06999969482422,130.89999389648438,124.16999816894531,130.27999877929688,112117500,Apple
2023-01-04 00:00:00+00:00,125.04505157470703,126.36000061035156,128.66000366210938,125.08000183105469,126.88999938964844,89113600,Apple
2023-01-05 00:00:00+00:00,123.71898651123047,125.0199966430664,127.7699966430664,124.76000213623047,127.12999725341797,80962700,Apple
2023-01-06 00:00:00+00:00,128.2711181640625,129.6199951171875,130.2899932861328,124.88999938964844,126.01000213623047,87754700,Apple
2023-01-09 00:00:00+00:00,128.7955780029297,130.14999389648438,133.41000366210938,129.88999938964844,130.47000122070312,70790800,Apple
2023-01-10 00:00:00+00:00,129.36953735351562,130.72999572753906,131.25999450683594,128.1199951171875,130.25999450683594,63896200,Apple
2023-01-11 00:00:00+00:00,132.10086059570312,133.49000549316406,133.50999450683594,130.4600067138672,131.25,69458900,Apple
2023-01-12 00:00:00+00:00,132.0216827392578,133.41000366210938,134.25999450683594,131.44000244140625,133.8800048828125,71379600,Apple
2023-01-13 00:00:00+00:00,133.35760498046875,134.75999450683594,134.9199981689453,131.66000366210938,132.02999877929688,57809700,Apple
2023-01-17 00:00:00+00:00,134.5253448486328,135.94000244140625,137.2899932861328,134.1300048828125,134.8300018310547,63646600,Apple
2023-01-18 00:00:00+00:00,133.80291748046875,135.2100067138672,138.61000061035156,135.02999877929688,136.82000732421875,69672800,Apple
2023-01-19 00:00:00+00:00,133.86231994628906,135.27000427246094,136.25,133.77000427246094,134.0800018310547,58280400,Apple
2023-01-20 00:00:00+00:00,136.43524169921875,137.8699951171875,138.02000427246094,134.22000122070312,135.27999877929688,80223600,Apple
2023-01-23 00:00:00+00:00,139.6415252685547,141.11000061035156,143.32000732421875,137.89999389648438,138.1199951171875,81760300,Apple
2023-01-24 00:00:00+00:00,141.04673767089844,142.52999877929688,143.16000366210938,140.3000030517578,140.30999755859375,66435100,Apple
2023-01-25 00:00:00+00:00,140.38372802734375,141.86000061035156,142.42999267578125,138.80999755859375,140.88999938964844,65799300,Apple
